gene_ens,gene_symbol,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI
ENSG00000155974,GRIP1,0.2,0.046153846,0.492307692,0,0,0,0,-0.085913155,-0.164252879,0,0.916135284,0.711111111,2.186602379
ENSG00000155975,VPS37A,0,0,0.625,0,0,0,0,-0.272905703,-0.164252879,0,-0.251341795,1,-0.461490867
ENSG00000155980,KIF5A,0,0.111111111,0.777777778,0,0,0,0,0.126075502,-0.164252879,0,0.721555771,1,0.597746432
ENSG00000156006,NAT2,0,0,1,0,0,0,0,0.060778859,-0.164252879,0,-0.640500821,1,-0.461490867
ENSG00000156009,MAGEA8,0.214285714,0,0.214285714,0,0,0,0,-0.002898574,-0.164252879,0,-0.640500821,0.5,0.068127782
ENSG00000156011,PSD3,0.13253012,0.096385542,0.289156627,0.072289157,0,0,0,0.028180042,-0.164252879,0,1.88903285,0.685714286,-0.461490867
ENSG00000156017,C9orf41,0,0.105263158,0.421052632,0,0,0,0,0.087871813,-0.164252879,0,-0.056762281,1,-0.461490867
ENSG00000156026,MCU,0.078947368,0,0.289473684,0,0.105263158,0,0,0.069222304,-0.164252879,0,-0.056762281,0.785714286,-0.461490867
ENSG00000156030,ELMSAN1,0.105263158,0.065789474,0.355263158,0.065789474,0,0,0,-0.56817707,-0.164252879,0,0.332396745,0.771428571,0.068127782
ENSG00000156042,CFAP70,0.053691275,0.033557047,0.140939597,0,0.073825503,0,0,-0.004972028,-0.164252879,0,1.305294311,0.724137931,-0.461490867
ENSG00000156049,GNA14,0.25,0,0.125,0,0,0,0,-1.033578195,-0.164252879,0,-0.640500821,0.333333333,-0.461490867
ENSG00000156050,FAM161B,0.035714286,0,0.321428571,0,0,0,0,-0.322022177,-0.164252879,0,0.137817232,0.9,-0.461490867
ENSG00000156052,GNAQ,0.2,0,0.4,0,0,0,0,-0.686695947,-0.164252879,0,-0.445921308,0.666666667,1.127365081
ENSG00000156076,WIF1,0.117647059,0,0.411764706,0.117647059,0,0,0,-0.729392872,-0.164252879,0,0.137817232,0.777777778,-0.461490867
ENSG00000156096,UGT2B4,0.111111111,0,0.259259259,0,0,0,0,0.063593421,-0.164252879,0,-0.251341795,0.7,-0.461490867
ENSG00000156097,GPR61,0,0,0.625,0,0,0,0,0.04797378,-0.164252879,0,-0.251341795,1,-0.461490867
ENSG00000156103,MMP16,0.0625,0.0625,0.375,0.0625,0,0,0,-0.282576171,-0.164252879,0,0.721555771,0.857142857,-0.461490867
ENSG00000156110,ADK,0,0,0.535714286,0,0.035714286,0,0,0.611770834,-0.164252879,0,-0.056762281,1,-0.461490867
ENSG00000156113,KCNMA1,0.444015444,0,0.293436293,0.061776062,0.057915058,0,0,-1.670942517,-0.164252879,0,0.526976258,0.397905759,-0.461490867
ENSG00000156127,BATF,0.066666667,0,0.133333333,0,0,0,0,0.927082722,-0.164252879,0,-0.640500821,0.666666667,-0.461490867
ENSG00000156136,DCK,0.111111111,0.022222222,0.177777778,0,0.133333333,0,0,0.484005109,-0.164252879,0,0.137817232,0.615384615,-0.461490867
ENSG00000156140,ADAMTS3,0.048780488,0,0.585365854,0,0,0,0,-0.070795867,-0.164252879,0,1.499873824,0.923076923,0.597746432
