Unnamed: 0,gene_symbol,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI,gene_ens
11615,CRELD2,0.155172414,0.0,0.206896552,0.0,0.0,0.0,0.0,0.602056859,-0.264425559,0,-0.08565863,0.571428571,11,ENSG00000184164
11616,OR1D2,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.003808836,-0.264425559,0,0.108643716,1.0,3,ENSG00000184166
11617,SCFD2,0.230769231,0.0,0.615384615,0.0,0.0,0.0,0.0,-0.094824428,-0.264425559,0,-0.08565863,0.727272727,8,ENSG00000184178
11618,KCNJ12,0.5,0.0,0.5,0.0,0.0,0.0,0.0,-0.288135384,-0.264425559,0,-0.279960976,0.5,17,ENSG00000184185
11619,GPR173,0.333333333,0.0,0.166666667,0.0,0.0,0.0,0.0,0.161414719,-0.264425559,0,-0.474263322,0.333333333,16,ENSG00000184194
11620,PPP1R2,0.0,0.217391304,0.130434783,0.0,0.0,0.0,0.0,0.150811171,-0.264425559,0,-0.08565863,1.0,10,ENSG00000184203
11621,TSPYL2,0.0,0.038461538,0.115384615,0.038461538,0.0,0.0,0.0,0.195881826,-0.264425559,0,0.108643716,1.0,22,ENSG00000184205
11622,PGP,0.0,0.0,0.055555556,0.0,0.0,0.0,0.0,0.563697506,-0.264425559,0,-0.474263322,1.0,5,ENSG00000184207
11623,SNRNP35,0.166666667,0.0,0.333333333,0.0,0.0,0.0,0.0,-0.05584887,-0.264425559,0,-0.279960976,0.666666667,8,ENSG00000184209
11624,DGAT2L6,0.111111111,0.0,0.555555556,0.111111111,0.0,0.0,0.0,-0.30232705,-0.264425559,0,0.302946062,0.833333333,5,ENSG00000184210
11625,IRAK1,0.136363636,0.056818182,0.147727273,0.0,0.0,0.0,0.0,0.804774004,1.212192959,0,0.108643716,0.52,65,ENSG00000184216
11626,CMSS1,0.0,0.0,0.181818182,0.0,0.363636364,0.0,0.0,0.888595641,-0.264425559,0,-0.279960976,1.0,24,ENSG00000184220
11627,PCDH9,0.121212121,0.090909091,0.560606061,0.03030303,0.015151515,0.0,0.0,-0.028516656,-0.264425559,0,3.800388289,0.822222222,11,ENSG00000184226
11628,ALDH1A3,0.285714286,0.0,0.047619048,0.0,0.0,0.0,0.0,-0.925171568,-0.264425559,0,-0.474263322,0.142857143,16,ENSG00000184254
11629,TSSC4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.214330529,-0.264425559,0,-0.668565668,0.0,0,ENSG00000184281
11630,TACSTD2,0.5,0.0,0.5,0.0,0.0,0.0,0.0,-0.700804994,-0.264425559,0,-0.474263322,0.5,48,ENSG00000184292
11631,PRKD1,0.257425743,0.0,0.445544554,0.03960396,0.0,0.0,0.0,0.120441443,-0.264425559,0,2.051667175,0.633802817,58,ENSG00000184304
11632,CCSER1,0.229508197,0.0,0.213114754,0.049180328,0.0,0.0,0.0,-0.068270141,-0.264425559,0,0.302946062,0.481481481,3,ENSG00000184305
11633,ZDHHC23,0.1,0.0,0.133333333,0.0,0.0,0.0,0.0,0.245051667,-0.264425559,0,-0.474263322,0.571428571,20,ENSG00000184307
11634,MROH7,0.207317073,0.0,0.304878049,0.0,0.0,0.0,0.0,0.024585585,-0.264425559,0,0.691550754,0.595238095,1,ENSG00000184313
11635,S100A7A,0.4,0.0,0.6,0.0,0.0,0.0,0.0,1.128397749,-0.264425559,0,-0.08565863,0.6,13,ENSG00000184330
11636,SRPK3,0.0,0.0,0.130434783,0.0,0.0,0.0,0.0,-0.643425842,-0.264425559,0,-0.474263322,1.0,36,ENSG00000184343
11637,GDF3,0.142857143,0.0,0.714285714,0.0,0.0,0.0,0.0,-0.009839046,1.212192959,0,0.302946062,0.833333333,2,ENSG00000184344
11638,SLIT3,0.213114754,0.0,0.393442623,0.049180328,0.0,0.0,0.0,-0.563621963,-0.264425559,0,0.8858531,0.648648649,4,ENSG00000184347
11639,EFNA5,0.0,0.0,0.6,0.0,0.0,0.0,0.0,-0.607172113,2.688811477,0,-0.474263322,1.0,26,ENSG00000184349
11640,KRTAP19-1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.157255176,-0.264425559,0,-0.474263322,1.0,11,ENSG00000184351
11641,PKP3,0.0,0.008547009,0.042735043,0.008547009,0.0,0.0,0.0,0.258911639,-0.264425559,0,0.497248408,1.0,46,ENSG00000184363
11642,MAP7D2,0.181818182,0.0,0.681818182,0.0,0.0,0.0,0.0,0.502460464,-0.264425559,0,0.108643716,0.789473684,22,ENSG00000184368
11643,CSF1,0.242424242,0.0,0.242424242,0.0,0.0,0.0,0.0,0.016017093,4.165429995,0,-0.279960976,0.5,4,ENSG00000184371
11644,COLEC10,0.166666667,0.0,0.333333333,0.0,0.0,0.0,0.0,0.042434808,-0.264425559,0,-0.279960976,0.666666667,7,ENSG00000184374
11645,PLA2G6,0.213114754,0.0,0.213114754,0.0,0.0,0.0,0.0,0.143677631,-0.264425559,0,-0.08565863,0.5,11,ENSG00000184381
11646,MAML2,0.0,0.0,0.75,0.25,0.0,0.0,0.0,-0.224625293,1.212192959,0,0.108643716,1.0,18,ENSG00000184384
11647,OR4N5,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.000697595,-0.264425559,0,-0.279960976,1.0,1,ENSG00000184394
11648,SS18L1,0.142857143,0.0,0.380952381,0.0,0.0,0.0,0.0,0.322465666,-0.264425559,0,-0.08565863,0.727272727,14,ENSG00000184402
11649,KCND2,0.2,0.0,0.56,0.0,0.0,0.0,0.0,0.059608971,-0.264425559,0,1.663062483,0.736842105,8,ENSG00000184408
11650,TOP1MT,0.113636364,0.0,0.340909091,0.0,0.0,0.0,0.0,0.97188554,-0.264425559,0,-0.08565863,0.75,8,ENSG00000184428
11651,COPB2,0.031746032,0.0,0.174603175,0.0,0.0,0.0,0.0,0.559413801,-0.264425559,0,0.108643716,0.846153846,37,ENSG00000184432
11652,LRRC19,0.0,0.0,0.083333333,0.0,0.0,0.083333333,0.0,0.018840255,-0.264425559,0,-0.474263322,1.0,0,ENSG00000184434
11653,KNTC1,0.105769231,0.028846154,0.144230769,0.0,0.028846154,0.0,0.0,0.934990754,-0.264425559,0,0.8858531,0.576923077,37,ENSG00000184445
11654,CCR10,0.0,0.0,0.071428571,0.0,0.0,0.0,0.0,0.095057065,1.212192959,0,-0.474263322,1.0,60,ENSG00000184451
11655,NCMAP,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.674375003,-0.264425559,0,-0.474263322,0.0,0,ENSG00000184454
11656,BPIFC,0.5,0.0,0.333333333,0.0,0.0,0.0,0.0,-0.032992996,-0.264425559,0,-0.474263322,0.4,0,ENSG00000184459
11657,WDR27,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.355503649,-0.264425559,0,-0.08565863,1.0,4,ENSG00000184465
11658,TXNRD2,0.375,0.0,0.333333333,0.0,0.0,0.0,0.0,0.306971887,-0.264425559,1,-0.474263322,0.470588235,4,ENSG00000184470
11659,OR56A3,0.166666667,0.0,0.333333333,0.0,0.0,0.0,0.0,0.035934546,-0.264425559,0,0.108643716,0.666666667,1,ENSG00000184478
11660,FOXO4,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0,-0.708436434,-0.264425559,0,-0.279960976,1.0,15,ENSG00000184481
11661,POU3F2,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.036071172,-0.264425559,0,-0.08565863,0.5,3,ENSG00000184486
11662,PTP4A3,0.142857143,0.0,0.285714286,0.0,0.0,0.0,0.0,0.032596746,-0.264425559,0,-0.279960976,0.666666667,70,ENSG00000184489
11663,FOXD4L1,0.025,0.025,0.075,0.0,0.0,0.0,0.0,0.047101182,-0.264425559,0,0.108643716,0.75,5,ENSG00000184492
11664,PROS1,0.157894737,0.105263158,0.526315789,0.0,0.0,0.0,0.0,-0.421775163,-0.264425559,0,0.497248408,0.769230769,8,ENSG00000184500
11665,GAST,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.568229278,-0.264425559,0,-0.668565668,0.0,0,ENSG00000184502
11666,NUTM1,0.227642276,0.0,0.268292683,0.0,0.0,0.0,0.0,0.045210867,-0.264425559,0,0.8858531,0.540983607,15,ENSG00000184507
11667,BEX5,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0,-0.164768731,-0.264425559,0,-0.279960976,1.0,9,ENSG00000184515
11668,ZFP1,0.171428571,0.0,0.085714286,0.0,0.171428571,0.0,0.0,0.392650535,-0.264425559,0,-0.279960976,0.333333333,12,ENSG00000184517
