Unnamed: 0,gene_symbol,synonymous_variant,stop_gained,missense_variant,frameshift_variant,splice,inframe,lost_stop and start,deg,related_pathway,dir_pathway,muta_count,miss_ratio,PPI,gene_ens
1199,CLSPN,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.088075172,-0.239753503,0,-0.242244029,1.0,17,ENSG00000092853
1200,RFFL,0.15,0.0,0.325,0.0,0.025,0.0,0.0,0.236886523,-0.239753503,0,0.436462277,0.684210526,13,ENSG00000092871
1201,UNC13D,0.116883117,0.0,0.116883117,0.0,0.0,0.0,0.0,-0.052662985,-0.239753503,0,1.115168582,0.5,2,ENSG00000092929
1202,DPYSL2,0.0,0.0,0.5,0.0,0.083333333,0.0,0.0,-0.563196088,-0.239753503,0,0.436462277,1.0,17,ENSG00000092964
1203,TGFB2,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,-0.666484349,8.099387989,0,-0.920950334,0.0,0,ENSG00000092969
1204,NUP50,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.061561935,-0.239753503,0,-0.242244029,1.0,39,ENSG00000093000
1205,CDC45,0.333333333,0.0,0.333333333,0.0,0.0,0.0,0.0,0.435599101,2.539960328,0,-0.242244029,0.5,15,ENSG00000093009
1206,LRRFIP2,0.291666667,0.0,0.0,0.0,0.0,0.0,0.0,-0.087514573,-0.239753503,0,-0.920950334,0.0,0,ENSG00000093167
1207,HDAC6,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.112129591,-0.239753503,0,0.436462277,1.0,81,ENSG00000094631
1208,GABRP,0.4,0.0,0.3,0.0,0.0,0.0,0.0,-0.867930287,-0.239753503,0,-0.242244029,0.428571429,0,ENSG00000094755
1209,KRT31,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-0.012822386,-0.239753503,0,1.115168582,1.0,66,ENSG00000094796
1210,CDC23,0.0,0.0,0.294117647,0.0,0.0,0.0,0.0,-0.0906854,2.539960328,0,-0.242244029,1.0,47,ENSG00000094880
1211,FMO2,0.0,0.0,0.25,0.0,0.0,0.0,0.0,-0.55177364,-0.239753503,0,0.436462277,1.0,0,ENSG00000094963
1212,MSH2,0.0,0.0,0.470588235,0.235294118,0.0,0.0,0.0,0.182772063,-0.239753503,0,0.436462277,1.0,37,ENSG00000095002
1213,MAP3K1,0.2,0.0,0.4,0.0,0.0,0.0,0.0,-0.458362505,2.539960328,0,-0.242244029,0.666666667,51,ENSG00000095015
1214,DHPS,0.123076923,0.0,0.076923077,0.0,0.0,0.0,0.0,0.469904302,-0.239753503,0,-0.242244029,0.384615385,9,ENSG00000095059
1215,HOOK2,0.0,0.0,0.322580645,0.0,0.0,0.0,0.0,0.466556839,-0.239753503,0,-0.242244029,1.0,25,ENSG00000095066
1216,NXPE1,0.0,0.0,0.45,0.0,0.0,0.0,0.0,-0.026901313,-0.239753503,0,0.436462277,1.0,0,ENSG00000095110
1217,ARCN1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-0.025471685,-0.239753503,0,-0.242244029,1.0,22,ENSG00000095139
1218,EPB41L4B,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0,0.55353979,-0.239753503,0,-0.242244029,1.0,14,ENSG00000095203
1219,PSMD5,0.0,0.0,0.666666667,0.0,0.0,0.0,0.0,-0.09341909,-0.239753503,0,-0.242244029,1.0,21,ENSG00000095261
1220,PTGS1,0.923076923,0.0,0.0,0.0,0.0,0.0,0.0,-1.553984489,-0.239753503,0,-0.920950334,0.0,0,ENSG00000095303
1221,NUP188,0.0,0.0,0.142857143,0.0,0.0,0.0,0.0,0.156362221,-0.239753503,0,-0.242244029,1.0,24,ENSG00000095319
1222,SH2D3C,0.222222222,0.222222222,0.0,0.0,0.0,0.0,0.0,-0.075265514,-0.239753503,0,-0.242244029,0.0,40,ENSG00000095370
1223,NANS,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0,0.6345986,-0.239753503,0,-0.242244029,1.0,12,ENSG00000095380
1224,TBC1D2,0.0,0.142857143,0.666666667,0.0,0.047619048,0.0,0.0,-0.664503155,-0.239753503,0,1.793874888,1.0,4,ENSG00000095383
